,level_0,Unnamed: 0,index,Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors
0,0,0,0,Bytedance,180000000000.0,07-04-2017,Artificial intelligence,Beijing,China,Asia,2012,8000000000,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
1,1,1,1,SpaceX,100000000000.0,01-12-2012,Other,Hawthorne,United States,North America,2002,7000000000,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
2,2,2,2,SHEIN,100000000000.0,03-07-2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,2000000000,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
3,3,3,3,Stripe,95000000000.0,23-01-2014,Fintech,San Francisco,United States,North America,2010,2000000000,"Khosla Ventures, LowercaseCapital, capitalG"
4,4,4,4,Klarna,46000000000.0,12-12-2011,Fintech,Stockholm,Sweden,Europe,2005,4000000000,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
5,5,5,5,Canva,40000000000.0,08-01-2018,Internet software & services,Surry Hills,Australia,Oceania,2012,572000000,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
6,6,6,6,Checkout.com,40000000000.0,02-05-2019,Fintech,London,United Kingdom,Europe,2012,2000000000,"Tiger Global Management, Insight Partners, DST Global"
7,7,7,7,Instacart,39000000000.0,30-12-2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,3000000000,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
8,8,8,8,JUUL Labs,38000000000.0,20-12-2017,Consumer & retail,San Francisco,United States,North America,2015,14000000000,Tiger Global Management
9,9,9,9,Databricks,38000000000.0,05-02-2019,Data management & analytics,San Francisco,United States,North America,2013,3000000000,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
10,10,10,10,Revolut,33000000000.0,26-04-2018,Fintech,London,United Kingdom,Europe,2015,2000000000,"index Ventures, DST Global, Ribbit Capital"
11,11,11,11,Epic Games,32000000000.0,26-10-2018,Other,Cary,United States,North America,1991,7000000000,"Tencent Holdings, KKR, Smash Ventures"
12,12,12,13,Fanatics,27000000000.0,06-06-2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,4000000000,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
13,13,13,14,Chime,25000000000.0,05-03-2019,Fintech,San Francisco,United States,North America,2013,2000000000,"Forerunner Ventures, Crosslink Capital, Homebrew"
14,14,14,15,BYJU's,22000000000.0,25-07-2017,Edtech,Bengaluru,India,Asia,2008,4000000000,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
15,15,15,16,J&T Express,20000000000.0,07-04-2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,5000000000,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
16,16,16,17,Xiaohongshu,20000000000.0,31-03-2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,918000000,"GGV Capital, ZhenFund, Tencent"
17,17,17,18,Miro,18000000000.0,05-01-2022,Internet software & services,San Francisco,United States,North America,2011,476000000,"Accel, AltaIR Capital, Technology Crossover Ventures"
18,18,18,19,Yuanfudao,17000000000.0,31-05-2017,Edtech,Beijing,China,Asia,2012,4000000000,"Tencent Holdings, Warbug Pincus, IDG Capital"
19,19,19,20,Rapyd,15000000000.0,03-12-2019,Fintech,London,United Kingdom,Europe,2016,770000000,"Target Global, General Catalyst, Durable Capital Partners"
20,20,20,21,Discord,15000000000.0,20-04-2018,Internet software & services,San Francisco,United States,North America,2012,979000000,"Benchmark, Greylock Partners, Tencent Holdings"
21,21,21,22,Genki Forest,15000000000.0,01-03-2020,Consumer & retail,Beijing,China,Asia,2016,721000000,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
22,22,22,23,goPuff,15000000000.0,08-10-2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,3000000000,"Accel, Softbank Group, Anthos Capital"
